name,algset,caseid,catalog,alg1,alg2,alg3,alg4,video,videoimg,color,orientation
F2L07-2,F2L,F2L 7,Pieces On Top,U' L U2 L' U' L U2 L',U' L U2 L' U2 L U' L',,,,,,2
F2L07-3,F2L,F2L 7,Pieces On Top,r U2 R2 U' R2 U' r',F R U R2' U' R F',f R U R2' U' R f',y U' R U2 R' U2 R U' R',,,,3
F2L08,F2L,F2L 8,Pieces On Top,d R' U2' R U R' U2' R,r' U2 R2 U R2' U r,y U L' U2 L U2 L' U L,U2 R' F R2 U' R' U' R U R2' F' R,,,,0
F2L08-1,F2L,F2L 8,Pieces On Top,U L' U2 L U2' L' U L,U L' U2 L U L' U2 L,U L' U2 L U' L F' L' F,U L' U2 L U2 L' U L,,,,1
F2L08-2,F2L,F2L 8,Pieces On Top,l' U2 L2 U L2 U l,y U R' U2' R U R' U2' R,F' L' U' L2 U L' F,y U R' U2' R U2 R' U R,,,,2
F2L08-3,F2L,F2L 8,Pieces On Top,U R' U2' R U R' U2' R,U R' U2' R U2 R' U R,U R' U2 R U R' U2 R,U R' U2 R U2 R' U R,,,,3
F2L09,F2L,F2L 9,Pieces On Top,U' R U' R' U F' U' F,U' R U' R' d R' U' R,d R' U' R U' R' U' R,y U L' U' L U' L' U' L,,,,0
F2L09-1,F2L,F2L 9,Pieces On Top,U L' U' L U' L' U' L,U2' L' U L U L' U' L,U2 L' U L U L' U' L,U' F U' F' U L' U' L,,,,1
F2L09-2,F2L,F2L 9,Pieces On Top,y U2' R' U R U R' U' R,y U R' U' R U' R' U' R,U' L U' L' U f' L' f,U L U L' U2 f' L' f,,,,2
F2L09-3,F2L,F2L 9,Pieces On Top,U2' R' U R U R' U' R,U R' U' R U' R' U' R,U2 R' U R U R' U' R,,,,,3
F2L10,F2L,F2L 10,Pieces On Top,U' R U R' U R U R',U2 R U' R' U' R U R',U F' U F U' R U R',U y' R' U R U' y R U R',,,,0
F2L10-1,F2L,F2L 10,Pieces On Top,U L' U L U' F U F',F U' R U R' U2' F',y' U2 R U' R' U' R U R',F' L' U' L U F L' U L,,,,1
F2L10-2,F2L,F2L 10,Pieces On Top,U' L U L' U L U L',U2 L U' L' U' L U L',,,,,,2
F2L10-3,F2L,F2L 10,Pieces On Top,R2 U' F' U F R2,U R' U R U' f R f',U' R' U' R U2 f R f',y U2 R U' R' U' R U R',,,,3
F2L11,F2L,F2L 11,Pieces On Top,y' R U2 R2 U' R2 U' R',U' R U2 R' U F' U' F,F' U L' U2' L U2 F,U' R U2 R' d R' U' R,,,,0
F2L11-1,F2L,F2L 11,Pieces On Top,L U2 L2 U' L2 U' L',L' U L U' L' U L U2' L' U L,F U R U' R' U R U' R' U F',U' F U2 F' U L' U' L,,,,1
F2L11-2,F2L,F2L 11,Pieces On Top,y R U2' R2' U' R2 U' R',U' L U2 L' U f' L' f,y R U2 R2 U' R2 U' R',,,,,2
F2L11-3,F2L,F2L 11,Pieces On Top,R U2' R2' U' R2 U' R',R U2 R2 U' R2 U' R',R U2 R2' U' R2 U' R',,,,,3
F2L12,F2L,F2L 12,Pieces On Top,R' U2' R2 U R2' U R,R U' R' U R U' R' U2 R U' R',U R U' R' U' R U R' U' R U R' U',R' U2 R2 U R2 U R,https://www.youtube.com/watch?v=mQ9MINLqfl0&start=0s,https://img.youtube.com/vi/mQ9MINLqfl0/0.jpg,,0
F2L12-1,F2L,F2L 12,Pieces On Top,F U' R U2' R' U2 F',U L' U2 L U' F U F',y L' U2 L2 U L2' U L,F U' R U2 R' U2 F',,,,1
F2L12-2,F2L,F2L 12,Pieces On Top,L' U2 L2 U L2' U L,L' U2 L2 U L2 U L,,,,,,2
F2L12-3,F2L,F2L 12,Pieces On Top,U R' U2' R U' f R f',f R' U R2 U' R2' f',U R' U2 R d' R U R',y' L' U2 L2 U L2' U L,,,,3
F2L13,F2L,F2L 13,Pieces On Top,y' U R' U R U' R' U' R,y U L' U L U' L' U' L,d R' U R U' R' U' R,R U' R' U R' F R F' R U' R',,,,0
F2L13-1,F2L,F2L 13,Pieces On Top,U L' U L U' L' U' L,L' U L U' L' U2 L U2 L' U L,,,,,,1
F2L13-2,F2L,F2L 13,Pieces On Top,d L' U L U' L' U' L,U f' L f U' f' L' f,y U R' U R U' R' U' R,,,,,2
F2L13-3,F2L,F2L 13,Pieces On Top,U R' U R U' R' U' R,,,,,,,3
F2L14,F2L,F2L 14,Pieces On Top,U' R U' R' U R U R',U' R' F R2 U R' U' R' F' R,R U' R' U R U2 R' U2 R U' R',y L' U2 L U2 F U2 F' U F U' F',,,,0
F2L14-1,F2L,F2L 14,Pieces On Top,y U' L U' L' U L U L',d' L U' L' U L U L',y' U' R U' R' U R U R',L' U L U' L F' L' F L' U L,,,,1
F2L14-2,F2L,F2L 14,Pieces On Top,U' L U' L' U L U L',,,,,,,2
F2L14-3,F2L,F2L 14,Pieces On Top,y U' R U' R' U R U R',d' R U' R' U R U R',U' f R' f' U f R f',U' R' U R' F R2 U R' U' F' U' R,,,,3
F2L15,F2L,F2L 15,Pieces On Top,R' D' R U' R' D R U R U' R',U R' F R F' U R U R',M U r U' r' U' M',R U R' U2 R U' R' U R U' R',,,,0
F2L15-1,F2L,F2L 15,Pieces On Top,L' U L U2 F U F',F U2 R U R' U F',L' U L U2 y L U L',U' F' U' L' U L F L' U' L,,,,1
F2L15-2,F2L,F2L 15,Pieces On Top,L U L' U2 L U' L' U L U' L',M' U l U' l' U' M,L U2 L' U L U L' U L U' L',L U' L U2 L2 U' L2 U' L2,,,,2
F2L15-3,F2L,F2L 15,Pieces On Top,R' U R U2' f R f',R2' F R F' R U R' U2' R,R2' F R F' R U2' R' U R,U' M U' R' U r U R' U' R,,,,3
F2L16,F2L,F2L 16,Pieces On Top,R U' R' U2 F' U' F,U F U R U' R' F' R U R',U M' U R U' r' U' R U R',R2 B' R' B R' U2 R U' R',,,,0
F2L16-1,F2L,F2L 16,Pieces On Top,F U' R U' R' U2 F',L' U' L U2 L' U L U' L' U L,M U' l' U l U M',L' U L' U2 L2 U L2 U L2,,,,1
F2L16-2,F2L,F2L 16,Pieces On Top,L U' L' U2 f' L' f,L U' L' y U2 R' U' R,L2 F' L' F L' U2 L U' L',U M U L U' l' U' L U L',,,,2
F2L16-3,F2L,F2L 16,Pieces On Top,R' U' R U2 R' U R U' R' U R,F R' F' R U2' R' U' R2 U' R',R' U' F R' F' R U2 R,M' U' r' U r U M,,,,3
F2L17,F2L,F2L 17,Pieces On Top,R U2 R' U' R U R',y2 L U2 L' U' L U L',y L F' L' F L' U L U' L' U L,R U2' R' U' R U R',,,,0
F2L17-1,F2L,F2L 17,Pieces On Top,L F' L' F L' U L U' L' U L,y L U2 L' U' L U L',y' R U2 R' U' R U R',F U2 F' U' F U F',,,,1
F2L17-2,F2L,F2L 17,Pieces On Top,L U2 L' U' L U L',,,,,,,2
F2L17-3,F2L,F2L 17,Pieces On Top,y' L U2 L' U' L U L',y R U2' R' U' R U R',f R2 f' U' f R f',U' F' U' L' U L F R' U' R,,,,3
F2L18,F2L,F2L 18,Pieces On Top,y' R' U2 R U R' U' R,y L' U2 L U L' U' L,R' F R F' R U' R' U R U' R',y' R' U2' R U R' U' R,,,,0
F2L18-1,F2L,F2L 18,Pieces On Top,L' U2 L U L' U' L,,,,,,,1
F2L18-2,F2L,F2L 18,Pieces On Top,y R' U2' R U R' U' R,f' L2 f U f' L' f,y' L' U2 L U L' U' L,U F U R U' R' F' L U L',,,,2
F2L18-3,F2L,F2L 18,Pieces On Top,R' U2' R U R' U' R,R' U2 R U R' U' R,,,,,,3
F2L19,F2L,F2L 19,Pieces On Top,U R U2 R' U R U' R',U R U2 R2 F R F',U R U2' R' U R U' R',U y' f R2 f' r' U' R U M',,,,0
F2L19-1,F2L,F2L 19,Pieces On Top,U L' U L2 F' L' F L' U L,y U L U2 L' U L U' L',y' U R U2' R' U R U' R',U F U2 F' U F U' F',,,,1
F2L19-2,F2L,F2L 19,Pieces On Top,U L U2 L' U L U' L',,,,,,,2
F2L19-3,F2L,F2L 19,Pieces On Top,y U R U2' R' U R U' R',U R' F' U2' F R U R' U' R,U R' F' U2 F R U R' U' R,d L U2 L' U L U' L',,,,3
F2L20,F2L,F2L 20,Pieces On Top,y' U' R' U2 R U' R' U R,y U' L' U2 L U' L' U L,U' R U' R2' F R F' R U' R',U' R U' R2 F R F' R U' R',,,,0
F2L20-1,F2L,F2L 20,Pieces On Top,U' L' U2 L U' L' U L,U' L' U2 L2 F' L' F,,,,,,1
F2L20-2,F2L,F2L 20,Pieces On Top,y U' R' U2 R U' R' U R,U' L F U2 F' L' U' L U L',y' U' L' U2 L U' L' U L,U' M U L U2 L' U' L U l',,,,2
F2L20-3,F2L,F2L 20,Pieces On Top,U' R' U2 R U' R' U R,,,,,,,3
F2L21,F2L,F2L 21,Pieces On Top,R U' R' U2 R U R',U2 R U R' U R U' R',R B U2 B' R',y' f R' f' U2 f R f',,,,0
F2L21-1,F2L,F2L 21,Pieces On Top,l' U l U2 l' U' l,F R U2 R' F',U2 F R' F R F2,R' F R U2 R' F' R,,,,1
F2L21-2,F2L,F2L 21,Pieces On Top,L U' L' U2 L U L',U2 L U L' U L U' L',L F U2 F' L',U2 R U' L U L' R',,,,2
F2L21-3,F2L,F2L 21,Pieces On Top,r' U r U2' r' U' r,U2 R' U' R S R f' U' F,f U R2 U' f',y U2 R U R' U R U' R',,,,3
F2L22,F2L,F2L 22,Pieces On Top,r U' r' U2 r U r',F' L' U2 L F,y' U2 R' U' R U' R' U R,y U2 L' U' L U' L' U L,https://www.youtube.com/watch?v=HnLIryzMGCY&start=0s,https://img.youtube.com/vi/HnLIryzMGCY/0.jpg,,0
F2L22-1,F2L,F2L 22,Pieces On Top,L' U L U2 L' U' L,U2 L' U' L U' L' U L,L' B' U2 B L,U2 L' U' L2 F' L' F,,,,1
F2L22-2,F2L,F2L 22,Pieces On Top,l U' l' U2 l U l',f' U' L2' U f,U2 x' U' R U' R' U2 x,,,,,2
F2L22-3,F2L,F2L 22,Pieces On Top,R' U R U2' R' U' R,U2 R' U' R U' R' U R,U2 R' F R' F' R2,R' U R U2 R' U' R,,,,3
F2L23,F2L,F2L 23,Pieces On Top,U R U' R' U' R U' R' U R U' R',U F R' F' R U R U R',U2 R2 U2 R' U' R U' R2,R U' R2' D' R U2 R' D R,https://www.youtube.com/watch?v=1CoM811VHvE&start=0s,https://img.youtube.com/vi/1CoM811VHvE/0.jpg,,0
F2L23-1,F2L,F2L 23,Pieces On Top,F' U' L' U L F L' U L,F U' R U R' U R U2' R' F',U L' U' L2 F' L' F L' U L,F S' R U' R' S U' F',,,,1
F2L23-2,F2L,F2L 23,Pieces On Top,L U L' U2 L U L' U' L U L',U L U' L' U' L U' L' U L U' L',L U L' U2' L U L' U' L U L',U' L' U' L U' L' U2 L2 U' L',,,,2
F2L23-3,F2L,F2L 23,Pieces On Top,U R' F R' F' R2 U' R' U R,U2 l' U' L U' L' U2 B' l,U' f U R' U' f' R' U' R,U2 R' F' U' F2 R' F' R2,,,,3
F2L24,F2L,F2L 24,Pieces On Top,F U R U' R' F' R U' R',y' R' U' R U2 R' U' R U R' U' R,y U' L' U L U L' U L U' L' U L,U' R U R2 F R F' R U' R',,,,0
F2L24-1,F2L,F2L 24,Pieces On Top,F U' R U2 R' U R U2 R' F',U' F' r U r' U' L' U' L,L' U' L U2' L' U' L U L' U' L,U2 L2 U2' L U L' U L2,,,,1
F2L24-2,F2L,F2L 24,Pieces On Top,U2 r U R' U R U2 B r',U2 r U R' U R U2' B r',U2 L F U F2' L F L2',U' L U L' U L U' L F' L' F L',,,,2
F2L24-3,F2L,F2L 24,Pieces On Top,R' U' R U2 R' U' R U R' U' R,U2 R2 U2' R U R' U R2,R U R' U R U2 R2 U2 R,R' F' U' F R U' R' U' R,,,,3
F2L25,F2L,F2L 25,Corner In Slot,U' R' F R F' R U R',U' F' R U R' U' R' F R,R' F' R U R U' R' F,R' U' R' U' R' U R U R,,,,0
F2L25-1,F2L,F2L 25,Corner In Slot,U' L' U L F' L F L',U' L' U L d R U' R',U' L' U L y' U R U' R',U2 R' E R U R' E' R,,,,1
F2L25-2,F2L,F2L 25,Corner In Slot,R D' R' U' R D R' L U L',L U' L' U' L U' L' U L U L',U' f' L' f U L U L',r' U' r U r B' r' B,,,,2
F2L25-3,F2L,F2L 25,Corner In Slot,U' R' U M U' R U M',R' S' R U' R' S R,U' R' U R y U R U' R',L' u' U' L U L' u L,,,,3
F2L26,F2L,F2L 26,Corner In Slot,U R U' R' F R' F' R,R S' R' U R S R',U R U' R' U' F' U F,y' R U R U R U' R' U' R',,,,0
F2L26-1,F2L,F2L 26,Corner In Slot,r U r' U' r' F r F',U L F' L' F L' U' L,L F L' U' L' U L F',U F L' U' L U r U' r',,,,1
F2L26-2,F2L,F2L 26,Corner In Slot,L S L' U L S' L',U L U' L' y U' R' U R,U L U' M U L' U' M',U L U' L' y' U' L' U L,,,,2
F2L26-3,F2L,F2L 26,Corner In Slot,R U R U R U' R' U' R',U' R S2' R' U' R S2' R',U f R f' U' R' U' R,R' U R U R' U R U' R' U' R,,,,3
F2L27,F2L,F2L 27,Corner In Slot,R U' R' U R U' R',y' f R' f' U2 f R2 f',y L' U' L U2 F U' F',y' f R' f' U f R' f',,,,0
F2L27-1,F2L,F2L 27,Corner In Slot,L' U' L U F' L F L',y L U' L' U L U' L',y' R U' R' U R U' R',r' F2 r U2 F' r U r',,,,1
F2L27-2,F2L,F2L 27,Corner In Slot,L U' L' U L U' L',,,,,,,2
F2L27-3,F2L,F2L 27,Corner In Slot,R' U2 R' F R F' R,R' U' R U r' U' R U M',R' U2' R' F R F' R,y R U' R' U R U' R',,,,3
F2L28,F2L,F2L 28,Corner In Slot,y L' U L U' L' U L,R U R' U' F R' F' R,y' R' U R U' R' U R,R U R' U2 F' U F,,,,0
F2L28-1,F2L,F2L 28,Corner In Slot,L' U L U' L' U L,L' U L2 F' L' F,,,,,,1
F2L28-2,F2L,F2L 28,Corner In Slot,L U L' U' l U L' U' M',L U2 L F' L' F L',y R' U R U' R' U R,U2 r U' L U L' U' L U r2' x,,,,2
F2L28-3,F2L,F2L 28,Corner In Slot,R' U R U' R' U R,,,,,,,3
F2L29,F2L,F2L 29,Corner In Slot,R' F R F' U R U' R',y L' U' L U L' U' L,y' R' U' R U R' U' R,R' F R F' R' F R F',,,,0
F2L29-1,F2L,F2L 29,Corner In Slot,L' U' L U L' U' L,U F' L F L2 U' L,U L' U2 L U2' L' U' L,F' L F L' F' L F L',,,,1
F2L29-2,F2L,F2L 29,Corner In Slot,f' L' f U f' L' f,y R' U' R U R' U' R,,,,,,2
F2L29-3,F2L,F2L 29,Corner In Slot,R' U' R U R' U' R,U R' U2 R U2 R' U' R,U R' U2' R U2 R' U' R,,,,,3
F2L30,F2L,F2L 30,Corner In Slot,R U R' U' R U R',F R' F' R F R' F' R,U' R U2' R' U2' R U R',U' F R' F' R2 U R',,,,0
F2L30-1,F2L,F2L 30,Corner In Slot,y L U L' U' L U L',L F' L' F U' L' U L,U' F U' R U2 R' F',y' R U R' U' R U R',,,,1
F2L30-2,F2L,F2L 30,Corner In Slot,L U L' U' L U L',U' L U2 L' U2' L U L',,,,,,2
F2L30-3,F2L,F2L 30,Corner In Slot,y' L U L' U' L U L',f R f' U' f R f',y R U R' U' R U R',,,,,3
F2L31,F2L,F2L 31,Edge In Slot,U' R' F R F' R U' R',R U' R' U2 F R' F' R,R U' R' U y' R' U R,R U' R B' R' B R',https://www.youtube.com/watch?v=XI1XxQgw7wY&start=0s,https://img.youtube.com/vi/XI1XxQgw7wY/0.jpg,,0
F2L31-1,F2L,F2L 31,Edge In Slot,U L F' L' F L' U L,L' U L U' y L U' L',L' U L U' y' R U' R',,,,,1
F2L31-2,F2L,F2L 31,Edge In Slot,L U' L F' L' F L',B' U B L U2 L',y R' U R' F R F' R,,,,,2
F2L31-3,F2L,F2L 31,Edge In Slot,R' U R' F R F' R,R' U R U' y R U' R',f R' f' R' U2 R,U R f' U' f U R f' U' f,,,,3
F2L32,F2L,F2L 32,Edge In Slot,U R U' R' U R U' R' U R U' R',U' F R' F' R U' R U R',y U2 F U' R U R' U F',R U R' U' R U R' U' R U R',https://www.youtube.com/watch?v=DobIpboCy5w&start=0s,https://img.youtube.com/vi/DobIpboCy5w/0.jpg,,0
F2L32-1,F2L,F2L 32,Edge In Slot,U' L' U L U' L' U L U' L' U L,U2 F U' R U R' U F',L' U' L U L' U' L U L' U' L,L2 U' L2 U' L2 U2 L2,,,,1
F2L32-2,F2L,F2L 32,Edge In Slot,L U L' U' L U L' U' L U L',U L U' L' U L U' L' U L U' L',L2 U L2 U L2 U2 L2,,,,,2
F2L32-3,F2L,F2L 32,Edge In Slot,U' R' U R U' R' U R U' R' U R,R' U' R U R' U' R U R' U' R,U2 f R' U R U' R f',R2 U' R2 U' R2 U2 R2,,,,3
F2L33,F2L,F2L 33,Edge In Slot,U' R U' R' U2 R U' R',U' R U' R' U R' F R F',U y L' U2 L U' L' U' L,U' y L' U' L U2 L' U' L,,,,0
F2L33-1,F2L,F2L 33,Edge In Slot,R' D R U' R' D' R,U' L D L' U L D' L',U' L' U' L U2 L' U' L,U L D L' U' L D' L',,,,1
F2L33-2,F2L,F2L 33,Edge In Slot,U' L U' L' U2 L U' L',,,,,,,2
F2L33-3,F2L,F2L 33,Edge In Slot,U' R D R' U R D' R',U R D R' U' R D' R',U' R' U' R U2 R' U' R,,,,,3
F2L34,F2L,F2L 34,Edge In Slot,U R U R' U2 R U R',U' R U2 R' U R U R',U R' D' R U' R' D R,y U L' U L U2 L' U L,,,,0
F2L34-1,F2L,F2L 34,Edge In Slot,U L' U L U2' L' U L,U L' U L U2 L' U L,U L' U L U L' U2 L,,,,,1
F2L34-2,F2L,F2L 34,Edge In Slot,U L U L' U2 L U L',U L' D' L U' L' D L,U' L' D' L U L' D L,,,,,2
F2L34-3,F2L,F2L 34,Edge In Slot,U R' U R U R' U2' R,U R' U R U2' R' U R,U R' U R U2 R' U R,U R2' F R F' R U' R' U R,,,,3
F2L35,F2L,F2L 35,Edge In Slot,U' R U R' d R' U' R,U' R U R' U F' U' F,U2 R U R' F R' F' R,U M' U R U' r' R U' R',,,,0
F2L35-1,F2L,F2L 35,Edge In Slot,U2 F U F' U' L' U L,U2 L F' L' F U2 L' U' L,U' F U F' U L' U' L,y' U' R U R' d R' U' R,,,,1
F2L35-2,F2L,F2L 35,Edge In Slot,U2 L U L' U' L F U F' L',U' L U L' U f' L' f,U2 L U' L' y U' R' U' R,U' L F' L F L' U L',,,,2
F2L35-3,F2L,F2L 35,Edge In Slot,R' F R' F' R U R U' R' U' R,U' f R f' U R' U' R,U2 f R f' U' R' U R,U R' U' M U R U' R' U' r,,,,3
F2L36,F2L,F2L 36,Edge In Slot,U F' U' F U' R U R',U2 R' F R F' U2 R U R',U2 F' U F U R U R',R2 u R U R' U' u' R' U R',,,,0
F2L36-1,F2L,F2L 36,Edge In Slot,U2 L' U L U F U F',U2 L' U' L F' L F L',U L' U' L y' U' R U R',U L' U' L U' F U F',,,,1
F2L36-2,F2L,F2L 36,Edge In Slot,U f' L' f U' L U L',U2 f' L' f U L U' L',y U2' R' U R d L U L',U' L U M U' L' U L U l',,,,2
F2L36-3,F2L,F2L 36,Edge In Slot,U2 R' U' R U R' F' U' F R,U R' F R' F' R U' R,U R' U' R y U' R U R',U2 R' U' R y U R U' R',,,,3
F2L37,F2L,F2L 37,Pieces In Slot,R2 U2 F R2 F' U2 R' U R',R' F R F' R U' R' U R U' R' U2 R U' R',R' F R F' R' U2 R2 U R2 U R,R U2 R' U R U2 R' U y' R' U' R,https://www.youtube.com/watch?v=GfylDBpYAOk&start=0s,https://img.youtube.com/vi/GfylDBpYAOk/0.jpg,,0
F2L37-1,F2L,F2L 37,Pieces In Slot,L F' L' F L U2 L2' U' L2 U' L',L2' U2' F' L2' F U2' L U' L,L' U2 L U' L' U2 L U' F U F',L' U L l U2 L2' U' L2 U' l',,,,1
F2L37-2,F2L,F2L 37,Pieces In Slot,L U' L' l' U2 L2 U L2 U l,L U' L' F' L' U' L2 U L' F,L' f U f' L' U2 L2 U L2' U L,L U2 L' U L U2 L' U f' L' f,,,,2
F2L37-3,F2L,F2L 37,Pieces In Slot,R' U R r U2 R2 U' R2 U' r',R' U R F R U R2' U' R F',R f' U' f R U2' R2' U' R2 U' R',R2 U2 B' R2 B U2 R U' R,,,,3
F2L38,F2L,F2L 38,Pieces In Slot,R U' R' U' R U R' U2 R U' R',R2 U2 R' U' R U' R' U2 R',R U R' U' R U2 R' U' R U R',F' L' U2 L U' L' U2 L U' F,,,,0
F2L38-1,F2L,F2L 38,Pieces In Slot,L' U L U' L' U2 L U' L' U L,L' U2 L' U' L U' L' U2 L2,L' U' L U2 L' U L U' L' U' L,F U' R U2 R' U' R U2 R' F',,,,1
F2L38-2,F2L,F2L 38,Pieces In Slot,L U L' U' L U2 L' U' L U L',L2 U2 L' U' L U' L' U2 L',L U' L' U' L U L' U2 L U' L',L U2 R U2 R' U' R U' R' L',,,,2
F2L38-3,F2L,F2L 38,Pieces In Slot,R' U' R U2 R' U R U' R' U' R,R' U R U' R' U2' R U' R' U R,R' U2 R' U' R U' R' U2 R2,,,,,3
F2L39,F2L,F2L 39,Pieces In Slot,R U' R' U R U2 R' U R U' R',R U2 R U R' U R U2 R2,y F R U2 R' U R U2 R' U F',R U R' U2 R U' R' U R U R',,,,0
F2L39-1,F2L,F2L 39,Pieces In Slot,L' U L U L' U' L U2' L' U L,L' U L U L' U' L U2 L' U L,L2 U2 L U L' U L U2 L,F U2 R U' R' U R U2' R' F',,,,1
F2L39-2,F2L,F2L 39,Pieces In Slot,L U L' U2' L U' L' U L U L',L U2 L U L' U L U2 L2,L U' L' U L U2 L' U L U' L',,,,,2
F2L39-3,F2L,F2L 39,Pieces In Slot,R' U' R U R' U2' R U R' U' R,f R2 U R' U' F R' f' U F',R' U R U R' U' R U2' R' U R,R2 U2 R U R' U R U2 R,,,,3
F2L40,F2L,F2L 40,Pieces In Slot,r U' r' U2 r U r' R U R',R F U R U' R' F' U' R',F' L' U2 L F R U R',F' r' F2 r F R U R',,,,0
F2L40-1,F2L,F2L 40,Pieces In Slot,L' U L F R U2' R' F',L' U L l' U l U2' l' U' l,L' U L l' U l U2 l' U' l,F U' F U R U' R' F2,,,,1
F2L40-2,F2L,F2L 40,Pieces In Slot,l U' l' U2 l U l' L U L',y R' U R U2' y R U R' U R U' R',R B' R' U2 R B R' L U L',f' U' L2 U f L U L',,,,2
F2L40-3,F2L,F2L 40,Pieces In Slot,R' U R f U R2 U' f',R' U R r' U r U2 r' U' r,R2 F' U' F U R U' R,R' U R U2' y R U R' U R U' R',,,,3
F2L41,F2L,F2L 41,Pieces In Slot,R U' R' r U' r' U2 r U r',R U F R U R' U' F' R',R U R' U' R U' R' U2 y' R' U' R,y F R U2 R' F' L' U' L,,,,0
F2L41-1,F2L,F2L 41,Pieces In Slot,l' U l U2 l' U' l L' U' L,F R U2 R' F' L' U' L,F2 R' F' R2 U' R' U2 F',L' U L U L' U L U' y L U L',,,,1
F2L41-2,F2L,F2L 41,Pieces In Slot,L U' L' l U' l' U2' l U l',L U' L' d' U' R' U' R U' R' U R,L U' L' l U' l' U2 l U l',,,,,2
F2L41-3,F2L,F2L 41,Pieces In Slot,r' U r U2 r' U' r R' U' R,R' U R' U' F' U F R2,R' U R U R' U R U' y R U R',,,,,3
OLL01,OLL,OLL 1,Dot Case,R U2 R2 F R F' U2 R' F R F',y R U' R2 D' r U' r' D R2 U R',R U2' R2' F R F' U2' R' F R F',M R U R' U R U' R' U r U2' r' U' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=654s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyllllyyyoooooolylggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
